Cores;Input.Size;Time.MALMS;Time.MCSTL;Time.STDSORT;Workpakets
8;10000000;0.218922;0.191943;1.10702;100
8;10000000;0.218577;0.187405;1.10639;100
8;10000000;0.221274;0.233238;1.10638;100
8;10000000;0.219395;0.187577;1.10631;100
8;10000000;0.219999;0.192396;1.10627;100
8;10000000;0.221082;0.192151;1.10638;100
8;10000000;0.220012;0.191381;1.10639;100
8;10000000;0.219625;0.215193;1.10639;100
8;10000000;0.220947;0.187693;1.10643;100
8;10000000;0.219721;0.222479;1.1064;100
8;10000000;0.218704;0.239177;1.10631;100
8;10000000;0.218493;0.191023;1.10665;100
8;10000000;0.221433;0.228183;1.10644;100
8;10000000;0.221389;0.24666;1.10644;100
8;10000000;0.220775;0.194143;1.10638;100
8;10000000;0.218497;0.193389;1.10639;100
8;10000000;0.219357;0.212114;1.10637;100
8;10000000;0.218447;0.193654;1.10639;100
8;10000000;0.219326;0.203412;1.10643;100
8;10000000;0.22056;0.210953;1.10637;100
8;10000000;0.219539;0.187553;1.10633;100
8;10000000;0.219515;0.192075;1.10633;100
8;10000000;0.222109;0.191437;1.10632;100
8;10000000;0.219283;0.187723;1.10634;100
8;10000000;0.222145;0.241652;1.10635;100
8;10000000;0.219867;0.239076;1.10632;100
8;10000000;0.220487;0.228294;1.10643;100
8;10000000;0.219129;0.192604;1.10636;100
8;10000000;0.219554;0.210067;1.10622;100
8;10000000;0.221567;0.237744;1.10625;100
8;10000000;0.220533;0.191964;1.10634;100
8;10000000;0.222353;0.211585;1.10633;100
8;10000000;0.219886;0.208636;1.10646;100
8;10000000;0.220295;0.187603;1.10626;100
8;10000000;0.222671;0.191763;1.10629;100
8;10000000;0.219962;0.199264;1.10631;100
8;10000000;0.218659;0.192217;1.10639;100
8;10000000;0.220287;0.192574;1.10632;100
8;10000000;0.219016;0.192867;1.1063;100
8;10000000;0.219317;0.211719;1.10646;100
8;10000000;0.220822;0.192553;1.10626;100
8;10000000;0.220162;0.191153;1.10627;100
8;10000000;0.220446;0.189339;1.10629;100
8;10000000;0.223636;0.227854;1.10627;100
8;10000000;0.219564;0.191417;1.10636;100
8;10000000;0.221285;0.191941;1.10635;100
