Cores;Input Size;Time;Time MCSTL;Workpakets
8;1000000;0.017178;0.020294;8
8;1000000;0.020785;0.020807;8
8;1000000;0.022741;0.017947;8
8;1000000;0.017792;0.01746;8
8;1000000;0.017063;0.023173;8
8;1000000;0.017361;0.019215;8
8;1000000;0.01716;0.018245;8
8;1000000;0.017155;0.022443;8
8;1000000;0.021263;0.020586;8
8;1000000;0.017281;0.031996;8
8;1000000;0.017332;0.020823;8
8;1000000;0.019345;0.016792;8
8;10000000;0.197211;0.211873;8
8;10000000;0.219359;0.251542;8
8;10000000;0.191073;0.23385;8
8;10000000;0.190992;0.207706;8
8;10000000;0.231771;0.191174;8
8;10000000;0.194776;0.194569;8
8;10000000;0.216531;0.209682;8
8;10000000;0.191021;0.231614;8
8;10000000;0.23221;0.2167;8
8;10000000;0.218735;0.19059;8
8;10000000;0.195805;0.211039;8
8;10000000;0.198124;0.194241;8
8;10000000;0.196316;0.230763;8
8;10000000;0.231923;0.255353;8
8;10000000;0.229786;0.192426;8
8;10000000;0.195994;0.19573;8
8;10000000;0.1932;0.196679;8
8;10000000;0.249638;0.230125;8
8;10000000;0.191053;0.213496;8
8;10000000;0.191294;0.194356;8
8;10000000;0.218519;0.195373;8
8;10000000;0.209424;0.215759;8
8;10000000;0.192135;0.245532;8
8;10000000;0.193051;0.196974;8
8;10000000;0.203537;0.232103;8
8;10000000;0.192421;0.214986;8
8;10000000;0.219197;0.246025;8
8;10000000;0.248096;0.190414;8
8;10000000;0.194117;0.212732;8
8;10000000;0.220191;0.244934;8
8;10000000;0.231466;0.212935;8
8;10000000;0.191377;0.224868;8
8;10000000;0.192553;0.21382;8
8;10000000;0.220557;0.193915;8
8;10000000;0.192325;0.243131;8
8;10000000;0.199948;0.225531;8
8;10000000;0.19452;0.246245;8
8;10000000;0.203105;0.230892;8
8;10000000;0.235635;0.193689;8
8;10000000;0.231803;0.232876;8
8;10000000;0.195916;0.241438;8
8;10000000;0.19039;0.231285;8
8;10000000;0.192787;0.246257;8
8;10000000;0.190347;0.20167;8
8;10000000;0.218459;0.215639;8
8;10000000;0.193108;0.195698;8
8;10000000;0.230212;0.244631;8
8;10000000;0.193033;0.192882;8
8;10000000;0.19205;0.192511;8
8;10000000;0.195525;0.230091;8
8;100000000;2.12061;2.37411;8
8;100000000;2.43028;2.64017;8
8;100000000;2.13782;2.17056;8
8;100000000;2.5256;2.17492;8
8;100000000;2.39969;2.35457;8
8;100000000;2.1515;2.17771;8
8;100000000;2.18972;2.12413;8
8;100000000;2.41511;2.16296;8
